segment,n_samples,n_errors,error_rate,auc,pr_auc,pos_rate
Qatar Grand Prix,9954,1123,0.112818967249347,0.767439098438573,0.37170569894924627,0.09845288326300984
São Paulo Grand Prix,7958,1469,0.1845941191254084,0.7701166729058241,0.46457967399115935,0.1987936667504398
Bahrain Grand Prix,16139,4105,0.2543528099634426,0.7716825116289303,0.4230719224526658,0.24772290724332363
Azerbaijan Grand Prix,10260,1812,0.17660818713450294,0.7721874197780773,0.46932548463389656,0.18703703703703703
Japanese Grand Prix,7909,1517,0.19180680237703882,0.7861408574796822,0.5078772270287565,0.21216335819951954
Spanish Grand Prix,16536,4152,0.251088534107402,0.7965283792741196,0.5459964316251207,0.2966860183841316
Mexico City Grand Prix,19428,1845,0.09496602841260036,0.8085168900440862,0.24497260037589122,0.07468602017706404
Hungarian Grand Prix,17405,3303,0.18977305372019534,0.8195157765430213,0.5544084200340306,0.21878770468256248
Australian Grand Prix,15873,2908,0.1832041832041832,0.8374960238071018,0.5347902108551071,0.20374220374220375
Emilia Romagna Grand Prix,10847,2185,0.2014381856734581,0.8462596062971111,0.5758751881702672,0.24449156448787684
Austrian Grand Prix,16900,2699,0.15970414201183433,0.847514486606012,0.5427291236227101,0.18822485207100592
Miami Grand Prix,17573,1835,0.10442155579582314,0.8479684491870718,0.40330901559795207,0.10186080919592556
Monaco Grand Prix,16766,4237,0.2527138255994274,0.864377633417126,0.7103273772068013,0.3480257664320649
Italian Grand Prix,16243,1765,0.10866219294465308,0.8664982245723042,0.49378392960087025,0.12202179400357077
Canadian Grand Prix,16311,1774,0.10876095886211759,0.8695918131581565,0.4396891201711628,0.10416283489669548
United States Grand Prix,14507,1380,0.09512649065968154,0.8807341228544653,0.45911109321427485,0.10360515613152271
Belgian Grand Prix,7450,1166,0.15651006711409396,0.8856275809084797,0.6653048840233,0.22348993288590605
Las Vegas Grand Prix,9899,1350,0.1363774118597838,0.8915172365351022,0.7068504338299099,0.21204162036569352
British Grand Prix,14083,1429,0.10146985727472839,0.8916751656004368,0.5582232217976184,0.11631044521763828
Dutch Grand Prix,18046,2282,0.1264546159813809,0.8936285108342574,0.5798106665841378,0.15482655436107726
French Grand Prix,3177,544,0.17123072080579163,0.8994847312407941,0.7215061944917172,0.25716084356310986
Singapore Grand Prix,14003,1060,0.07569806470042134,0.9018959899589066,0.5839235022876978,0.10012140255659502
Abu Dhabi Grand Prix,12545,1065,0.0848943802311678,0.9131011189628369,0.5685074763825652,0.10418493423674771
Pre-Season Testing,18273,2080,0.1138291468286543,0.9186331149977972,0.6581337544583117,0.1483609697367701
Saudi Arabian Grand Prix,14885,1541,0.10352704064494457,0.9319320042086768,0.8086761322962681,0.20806180718844475
Chinese Grand Prix,3276,509,0.15537240537240538,0.9405988967065837,0.8754288549047107,0.376984126984127
