feature,importance_mean,importance_std
Stint,0.07194971205443523,0.000396809296236147
TyreLife,0.06398947569069385,0.00031938076317527967
pit_stops_so_far,0.048429440340104955,0.00037165795625173747
LapNumber,0.02931268520069539,0.00032544947888643046
Compound,0.018240499529236388,0.00025836021324455376
recomputed_stint,0.005950971274758343,0.00021264586474165214
Position,0.004440484511012355,0.00011615306311049739
laptime_delta_prev,0.0037961449374143918,0.00013230742226557937
laps_since_last_pit,0.002421111002004295,0.00015093598108747254
PitStop,0.0018879640486820892,0.00010205367288852926
